,Team,Opp,Game_Date,Game_Time,Timezone,isHome,Season,Season_Type,Playoff_Round,Quarters,Game_Clock,Score,Score_Opp,Win,Loss,Draw,First_Downs,First_Downs_Passing,First_Downs_Rushing,First_Downs_Penalty,Third_Down_Conversions,Third_Down_Attempts,Fourth_Down_Conversions,Fourth_Down_Attempts,Total_Offensive_Plays,Total_Yards,Yards_Per_Play,Total_Drives,Net_Passing_Yards,Pass_Completions,Pass_Attempts,Yards_Per_Pass,Sacks_Against,Sack_Yards_Lost,Rushing_Yards,Rushing_Attempts,Yards_Per_Rush,Red_Zone_Conversions,Red_Zone_Attempts,Total_Penalties,Total_Penalty_Yards,Turnovers,Fumbles_Lost,Interceptions_Thrown,Defensive_Touchdowns,Possession_Minutes,Possession_Seconds,Possession_Percent,First_Downs_Opp,First_Downs_Passing_Opp,First_Downs_Rushing_Opp,First_Downs_Penalty_Opp,Third_Down_Conversions_Opp,Third_Down_Attempts_Opp,Fourth_Down_Conversions_Opp,Fourth_Down_Attempts_Opp,Total_Offensive_Plays_Opp,Total_Yards_Opp,Yards_Per_Play_Opp,Total_Drives_Opp,Net_Passing_Yards_Opp,Pass_Completions_Opp,Pass_Attempts_Opp,Yards_Per_Pass_Opp,Sacks_Against_Opp,Sack_Yards_Lost_Opp,Rushing_Yards_Opp,Rushing_Attempts_Opp,Yards_Per_Rush_Opp,Red_Zone_Conversions_Opp,Red_Zone_Attempts_Opp,Total_Penalties_Opp,Total_Penalty_Yards_Opp,Turnovers_Opp,Fumbles_Lost_Opp,Interceptions_Thrown_Opp,Defensive_Touchdowns_Opp,Possession_Minutes_Opp,Possession_Seconds_Opp,Possession_Percent_Opp,Neutral_Site,Venue,Venue_City,Venue_State,Attendance,Venue_Capacity,Moneyline,Odds,Spread,Over_Under,Head_Linesman,Back_Judge,Line_Judge,Umpire,Referee,Field_Judge,Side_Judge,Game_Id,Team_Id,Opp_Id,Game_Status
0,CLE,NYJ,2023-08-04,00:00,UTC,1.0,2023,Pre-Season,,4,,21.0,16.0,1.0,0.0,0.0,23.0,10.0,9.0,4.0,7.0,13.0,1.0,1.0,64.0,339.0,5.3,11.0,167.0,21.0,30.0,5.57,1.0,7.0,172.0,33.0,5.21,2.0,2.0,10.0,103.0,2.0,1.0,1.0,0.0,35.0,54.0,0.6,9.0,3.0,4.0,2.0,2.0,12.0,0.0,2.0,47.0,188.0,4.0,11.0,135.0,10.0,23.0,5.87,1.0,0.0,53.0,23.0,2.3,1.0,1.0,12.0,80.0,1.0,0.0,1.0,0.0,24.0,6.0,0.4,1.0,Tom Benson Hall of Fame Stadium,Canton,OH,19020,23000,115.0,-110.0,2.0,33.5,,,,,,,,803096862.0,1564.0,1594.0,Final
1,NYJ,CLE,2023-08-04,00:00,UTC,0.0,2023,Pre-Season,,4,,16.0,21.0,0.0,1.0,0.0,9.0,3.0,4.0,2.0,2.0,12.0,0.0,2.0,47.0,188.0,4.0,11.0,135.0,10.0,23.0,5.87,1.0,0.0,53.0,23.0,2.3,1.0,1.0,12.0,80.0,1.0,0.0,1.0,0.0,24.0,6.0,0.4,23.0,10.0,9.0,4.0,7.0,13.0,1.0,1.0,64.0,339.0,5.3,11.0,167.0,21.0,30.0,5.57,1.0,7.0,172.0,33.0,5.21,2.0,2.0,10.0,103.0,2.0,1.0,1.0,0.0,35.0,54.0,0.6,1.0,Tom Benson Hall of Fame Stadium,Canton,OH,19020,23000,-135.0,-110.0,-2.0,33.5,,,,,,,,803096862.0,1594.0,1564.0,Final
2,WSH,BAL,2023-08-22,00:00,UTC,1.0,2023,Pre-Season,,4,,29.0,28.0,1.0,0.0,0.0,29.0,20.0,6.0,3.0,8.0,16.0,1.0,1.0,81.0,426.0,5.26,11.0,297.0,36.0,52.0,5.71,3.0,29.0,129.0,26.0,4.96,3.0,4.0,5.0,58.0,2.0,1.0,1.0,0.0,35.0,50.0,0.6,20.0,11.0,7.0,2.0,4.0,9.0,0.0,0.0,49.0,334.0,6.82,11.0,185.0,16.0,22.0,8.41,0.0,0.0,149.0,27.0,5.52,3.0,3.0,6.0,36.0,2.0,0.0,2.0,0.0,24.0,10.0,0.4,0.0,FedExField,Landover,MD,54404,67617,100.0,-110.0,1.0,37.0,Maia Chaka,Tony Josselyn,Max Causey,Barry Anderson,Ronald Torbert,Ryan Dickson,Keith Washington,803096864.0,1610.0,1620.0,Final
3,BAL,WSH,2023-08-22,00:00,UTC,0.0,2023,Pre-Season,,4,,28.0,29.0,0.0,1.0,0.0,20.0,11.0,7.0,2.0,4.0,9.0,0.0,0.0,49.0,334.0,6.82,11.0,185.0,16.0,22.0,8.41,0.0,0.0,149.0,27.0,5.52,3.0,3.0,6.0,36.0,2.0,0.0,2.0,0.0,24.0,10.0,0.4,29.0,20.0,6.0,3.0,8.0,16.0,1.0,1.0,81.0,426.0,5.26,11.0,297.0,36.0,52.0,5.71,3.0,29.0,129.0,26.0,4.96,3.0,4.0,5.0,58.0,2.0,1.0,1.0,0.0,35.0,50.0,0.6,0.0,FedExField,Landover,MD,54404,67617,-120.0,-110.0,-1.0,37.0,Maia Chaka,Tony Josselyn,Max Causey,Barry Anderson,Ronald Torbert,Ryan Dickson,Keith Washington,803096864.0,1620.0,1610.0,Final
4,PHI,IND,2023-08-25,00:00,UTC,1.0,2023,Pre-Season,,4,,13.0,27.0,0.0,1.0,0.0,17.0,13.0,3.0,1.0,6.0,17.0,2.0,5.0,75.0,278.0,3.71,11.0,236.0,31.0,51.0,4.63,3.0,23.0,42.0,21.0,2.0,1.0,2.0,8.0,55.0,1.0,1.0,0.0,0.0,27.0,35.0,0.46,27.0,15.0,9.0,3.0,5.0,12.0,1.0,2.0,68.0,393.0,5.78,10.0,266.0,21.0,36.0,7.39,1.0,0.0,127.0,31.0,4.1,3.0,4.0,5.0,42.0,1.0,0.0,1.0,0.0,32.0,25.0,0.54,0.0,Lincoln Financial Field,Philadelphia,PA,69879,69879,215.0,-110.0,6.0,37.0,Jerod Phillips,Greg Wilson,Greg Bradley,James Carter II,Clay Martin,Alonzo Ramsey III,Dave Hawkshaw,803096866.0,1596.0,1576.0,Final
5,IND,PHI,2023-08-25,00:00,UTC,0.0,2023,Pre-Season,,4,,27.0,13.0,1.0,0.0,0.0,27.0,15.0,9.0,3.0,5.0,12.0,1.0,2.0,68.0,393.0,5.78,10.0,266.0,21.0,36.0,7.39,1.0,0.0,127.0,31.0,4.1,3.0,4.0,5.0,42.0,1.0,0.0,1.0,0.0,32.0,25.0,0.54,17.0,13.0,3.0,1.0,6.0,17.0,2.0,5.0,75.0,278.0,3.71,11.0,236.0,31.0,51.0,4.63,3.0,23.0,42.0,21.0,2.0,1.0,2.0,8.0,55.0,1.0,1.0,0.0,0.0,27.0,35.0,0.46,0.0,Lincoln Financial Field,Philadelphia,PA,69879,69879,-267.0,-110.0,-6.0,37.0,Jerod Phillips,Greg Wilson,Greg Bradley,James Carter II,Clay Martin,Alonzo Ramsey III,Dave Hawkshaw,803096866.0,1576.0,1596.0,Final
6,CAR,DET,2023-08-26,00:00,UTC,1.0,2023,Pre-Season,,4,,17.0,26.0,0.0,1.0,0.0,22.0,11.0,9.0,2.0,7.0,16.0,0.0,0.0,74.0,341.0,4.61,13.0,229.0,23.0,47.0,4.87,3.0,30.0,112.0,24.0,4.67,2.0,5.0,4.0,56.0,4.0,2.0,2.0,0.0,30.0,56.0,0.52,15.0,9.0,4.0,2.0,6.0,17.0,0.0,0.0,66.0,315.0,4.77,13.0,232.0,20.0,38.0,6.11,2.0,2.0,83.0,26.0,3.19,1.0,3.0,6.0,41.0,0.0,0.0,0.0,1.0,29.0,4.0,0.48,0.0,Bank of America Stadium,Charlotte,NC,71506,73778,-210.0,-110.0,-4.5,36.5,Dale Keller,Jimmy Russell,Mark Perlman,Alex Moore,Bill Vinovich,Joe Blubaugh,Jimmy Buchanan,803096868.0,1612.0,1570.0,Final
7,DET,CAR,2023-08-26,00:00,UTC,0.0,2023,Pre-Season,,4,,26.0,17.0,1.0,0.0,0.0,15.0,9.0,4.0,2.0,6.0,17.0,0.0,0.0,66.0,315.0,4.77,13.0,232.0,20.0,38.0,6.11,2.0,2.0,83.0,26.0,3.19,1.0,3.0,6.0,41.0,0.0,0.0,0.0,1.0,29.0,4.0,0.48,22.0,11.0,9.0,2.0,7.0,16.0,0.0,0.0,74.0,341.0,4.61,13.0,229.0,23.0,47.0,4.87,3.0,30.0,112.0,24.0,4.67,2.0,5.0,4.0,56.0,4.0,2.0,2.0,0.0,30.0,56.0,0.52,0.0,Bank of America Stadium,Charlotte,NC,71506,73778,175.0,-110.0,4.5,36.5,Dale Keller,Jimmy Russell,Mark Perlman,Alex Moore,Bill Vinovich,Joe Blubaugh,Jimmy Buchanan,803096868.0,1570.0,1612.0,Final
8,NO,HOU,2023-08-28,00:00,UTC,1.0,2023,Pre-Season,,4,,13.0,17.0,0.0,1.0,0.0,18.0,13.0,5.0,0.0,8.0,20.0,0.0,2.0,77.0,348.0,4.52,14.0,257.0,28.0,54.0,4.76,2.0,8.0,91.0,21.0,4.33,1.0,1.0,2.0,15.0,2.0,0.0,2.0,0.0,30.0,9.0,0.5,11.0,8.0,3.0,0.0,5.0,16.0,0.0,1.0,61.0,235.0,3.85,15.0,104.0,15.0,27.0,3.85,3.0,23.0,131.0,31.0,4.23,2.0,3.0,5.0,45.0,0.0,0.0,0.0,0.0,29.0,51.0,0.5,0.0,Caesars Superdome,New Orleans,LA,70053,73000,-120.0,-110.0,-1.0,37.5,,,,,,,,803096870.0,1590.0,1622.0,Final
9,HOU,NO,2023-08-28,00:00,UTC,0.0,2023,Pre-Season,,4,,17.0,13.0,1.0,0.0,0.0,11.0,8.0,3.0,0.0,5.0,16.0,0.0,1.0,61.0,235.0,3.85,15.0,104.0,15.0,27.0,3.85,3.0,23.0,131.0,31.0,4.23,2.0,3.0,5.0,45.0,0.0,0.0,0.0,0.0,29.0,51.0,0.5,18.0,13.0,5.0,0.0,8.0,20.0,0.0,2.0,77.0,348.0,4.52,14.0,257.0,28.0,54.0,4.76,2.0,8.0,91.0,21.0,4.33,1.0,1.0,2.0,15.0,2.0,0.0,2.0,0.0,30.0,9.0,0.5,0.0,Caesars Superdome,New Orleans,LA,70053,73000,100.0,-110.0,1.0,37.5,,,,,,,,803096870.0,1622.0,1590.0,Final
10,BAL,PHI,2023-08-12,23:00,UTC,1.0,2023,Pre-Season,,4,,20.0,19.0,1.0,0.0,0.0,18.0,9.0,7.0,2.0,8.0,14.0,0.0,0.0,60.0,272.0,4.53,11.0,139.0,19.0,31.0,4.48,1.0,1.0,133.0,28.0,4.75,2.0,3.0,4.0,35.0,2.0,1.0,1.0,0.0,24.0,38.0,0.41,20.0,10.0,9.0,1.0,8.0,18.0,2.0,4.0,73.0,335.0,4.59,10.0,181.0,18.0,35.0,5.17,4.0,36.0,154.0,34.0,4.53,1.0,2.0,7.0,40.0,1.0,1.0,0.0,1.0,35.0,22.0,0.59,0.0,M&T Bank Stadium,Baltimore,MD,70647,70745,-278.0,-115.0,-6.0,35.0,Frank LeBlanc,Matt Edwards,Carl Johnson,Carl Paganelli,John Hussey,Anthony Flemming,Allen Baynes,803096872.0,1620.0,1596.0,Final
11,PHI,BAL,2023-08-12,23:00,UTC,0.0,2023,Pre-Season,,4,,19.0,20.0,0.0,1.0,0.0,20.0,10.0,9.0,1.0,8.0,18.0,2.0,4.0,73.0,335.0,4.59,10.0,181.0,18.0,35.0,5.17,4.0,36.0,154.0,34.0,4.53,1.0,2.0,7.0,40.0,1.0,1.0,0.0,1.0,35.0,22.0,0.59,18.0,9.0,7.0,2.0,8.0,14.0,0.0,0.0,60.0,272.0,4.53,11.0,139.0,19.0,31.0,4.48,1.0,1.0,133.0,28.0,4.75,2.0,3.0,4.0,35.0,2.0,1.0,1.0,0.0,24.0,38.0,0.41,0.0,M&T Bank Stadium,Baltimore,MD,70647,70745,222.0,-105.0,6.0,35.0,Frank LeBlanc,Matt Edwards,Carl Johnson,Carl Paganelli,John Hussey,Anthony Flemming,Allen Baynes,803096872.0,1596.0,1620.0,Final
12,TB,BAL,2023-08-26,23:00,UTC,1.0,2023,Pre-Season,,4,,26.0,20.0,1.0,0.0,0.0,23.0,16.0,7.0,0.0,7.0,15.0,0.0,0.0,71.0,385.0,5.42,12.0,227.0,25.0,37.0,6.14,1.0,8.0,158.0,33.0,4.79,2.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,33.0,55.0,0.57,18.0,12.0,5.0,1.0,4.0,12.0,0.0,1.0,58.0,382.0,6.59,11.0,245.0,18.0,30.0,8.17,5.0,21.0,137.0,23.0,5.96,1.0,2.0,3.0,25.0,1.0,1.0,0.0,0.0,26.0,5.0,0.43,0.0,Raymond James Stadium,Tampa,FL,64225,65844,-135.0,-115.0,-1.5,36.0,,,,,,,,803096874.0,1608.0,1620.0,Final
13,BAL,TB,2023-08-26,23:00,UTC,0.0,2023,Pre-Season,,4,,20.0,26.0,0.0,1.0,0.0,18.0,12.0,5.0,1.0,4.0,12.0,0.0,1.0,58.0,382.0,6.59,11.0,245.0,18.0,30.0,8.17,5.0,21.0,137.0,23.0,5.96,1.0,2.0,3.0,25.0,1.0,1.0,0.0,0.0,26.0,5.0,0.43,23.0,16.0,7.0,0.0,7.0,15.0,0.0,0.0,71.0,385.0,5.42,12.0,227.0,25.0,37.0,6.14,1.0,8.0,158.0,33.0,4.79,2.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,33.0,55.0,0.57,0.0,Raymond James Stadium,Tampa,FL,64225,65844,115.0,-105.0,1.5,36.0,,,,,,,,803096874.0,1620.0,1608.0,Final
14,PHI,CLE,2023-08-17,23:30,UTC,1.0,2023,Pre-Season,,4,,18.0,18.0,0.0,0.0,1.0,16.0,9.0,6.0,1.0,2.0,10.0,1.0,2.0,60.0,315.0,5.25,13.0,205.0,19.0,35.0,5.86,6.0,28.0,110.0,19.0,5.79,0.0,1.0,11.0,55.0,2.0,1.0,1.0,0.0,21.0,23.0,0.36,21.0,14.0,6.0,1.0,10.0,22.0,2.0,2.0,83.0,399.0,4.81,13.0,289.0,25.0,49.0,5.9,1.0,1.0,110.0,33.0,3.33,0.0,2.0,8.0,76.0,1.0,1.0,0.0,0.0,38.0,37.0,0.64,0.0,Lincoln Financial Field,Philadelphia,PA,69879,69879,-175.0,-110.0,-4.0,36.5,Sarah Thomas,Greg Yette,Walt Flowers,Fred Bryan,Duane Heydt,Rick Patterson,Boris Cheek,803096876.0,1596.0,1564.0,Final
15,CLE,PHI,2023-08-17,23:30,UTC,0.0,2023,Pre-Season,,4,,18.0,18.0,0.0,0.0,1.0,21.0,14.0,6.0,1.0,10.0,22.0,2.0,2.0,83.0,399.0,4.81,13.0,289.0,25.0,49.0,5.9,1.0,1.0,110.0,33.0,3.33,0.0,2.0,8.0,76.0,1.0,1.0,0.0,0.0,38.0,37.0,0.64,16.0,9.0,6.0,1.0,2.0,10.0,1.0,2.0,60.0,315.0,5.25,13.0,205.0,19.0,35.0,5.86,6.0,28.0,110.0,19.0,5.79,0.0,1.0,11.0,55.0,2.0,1.0,1.0,0.0,21.0,23.0,0.36,0.0,Lincoln Financial Field,Philadelphia,PA,69879,69879,148.0,-110.0,4.0,36.5,Sarah Thomas,Greg Yette,Walt Flowers,Fred Bryan,Duane Heydt,Rick Patterson,Boris Cheek,803096876.0,1564.0,1596.0,Final
16,PIT,BUF,2023-08-19,22:30,UTC,1.0,2023,Pre-Season,,4,,27.0,15.0,1.0,0.0,0.0,17.0,9.0,3.0,5.0,7.0,15.0,0.0,0.0,60.0,265.0,4.42,12.0,144.0,18.0,24.0,6.0,3.0,29.0,121.0,33.0,3.67,1.0,3.0,4.0,26.0,1.0,1.0,0.0,0.0,31.0,7.0,0.52,20.0,14.0,6.0,0.0,3.0,8.0,0.0,0.0,58.0,339.0,5.84,12.0,267.0,26.0,37.0,7.22,1.0,2.0,72.0,20.0,3.6,2.0,3.0,13.0,93.0,4.0,1.0,3.0,0.0,28.0,53.0,0.48,0.0,Acrisure Stadium,Pittsburgh,PA,64046,68400,-110.0,-110.0,0.0,42.5,Tom Stephan,Brad Freeman,Brian Bolinger,Paul King,Land Clark,Jabir Walker,Dominique Pender,803096878.0,1600.0,1558.0,Final
17,BUF,PIT,2023-08-19,22:30,UTC,0.0,2023,Pre-Season,,4,,15.0,27.0,0.0,1.0,0.0,20.0,14.0,6.0,0.0,3.0,8.0,0.0,0.0,58.0,339.0,5.84,12.0,267.0,26.0,37.0,7.22,1.0,2.0,72.0,20.0,3.6,2.0,3.0,13.0,93.0,4.0,1.0,3.0,0.0,28.0,53.0,0.48,17.0,9.0,3.0,5.0,7.0,15.0,0.0,0.0,60.0,265.0,4.42,12.0,144.0,18.0,24.0,6.0,3.0,29.0,121.0,33.0,3.67,1.0,3.0,4.0,26.0,1.0,1.0,0.0,0.0,31.0,7.0,0.52,0.0,Acrisure Stadium,Pittsburgh,PA,64046,68400,-110.0,-110.0,0.0,42.5,Tom Stephan,Brad Freeman,Brian Bolinger,Paul King,Land Clark,Jabir Walker,Dominique Pender,803096878.0,1558.0,1600.0,Final
18,BUF,IND,2023-08-12,17:00,UTC,1.0,2023,Pre-Season,,4,,23.0,19.0,1.0,0.0,0.0,20.0,14.0,5.0,1.0,6.0,12.0,1.0,1.0,59.0,348.0,5.9,10.0,266.0,22.0,30.0,8.87,3.0,28.0,82.0,26.0,3.15,2.0,3.0,8.0,59.0,2.0,1.0,1.0,0.0,30.0,29.0,0.51,23.0,12.0,7.0,4.0,5.0,10.0,0.0,2.0,61.0,289.0,4.74,8.0,193.0,21.0,27.0,7.15,3.0,18.0,96.0,31.0,3.1,2.0,3.0,4.0,48.0,1.0,0.0,1.0,1.0,29.0,31.0,0.49,0.0,Highmark Stadium,Orchard Park,NY,70326,71621,140.0,-110.0,3.5,36.5,Derick Bowers,Greg Meyer,Robin DeLorenzo,Tab Slaughter,Alan Eck,John Jenkins,Dale Shaw,803096880.0,1558.0,1576.0,Final
19,IND,BUF,2023-08-12,17:00,UTC,0.0,2023,Pre-Season,,4,,19.0,23.0,0.0,1.0,0.0,23.0,12.0,7.0,4.0,5.0,10.0,0.0,2.0,61.0,289.0,4.74,8.0,193.0,21.0,27.0,7.15,3.0,18.0,96.0,31.0,3.1,2.0,3.0,4.0,48.0,1.0,0.0,1.0,1.0,29.0,31.0,0.49,20.0,14.0,5.0,1.0,6.0,12.0,1.0,1.0,59.0,348.0,5.9,10.0,266.0,22.0,30.0,8.87,3.0,28.0,82.0,26.0,3.15,2.0,3.0,8.0,59.0,2.0,1.0,1.0,0.0,30.0,29.0,0.51,0.0,Highmark Stadium,Orchard Park,NY,70326,71621,-165.0,-110.0,-3.5,36.5,Derick Bowers,Greg Meyer,Robin DeLorenzo,Tab Slaughter,Alan Eck,John Jenkins,Dale Shaw,803096880.0,1576.0,1558.0,Final
20,IND,CHI,2023-08-19,23:00,UTC,1.0,2023,Pre-Season,,4,,24.0,17.0,1.0,0.0,0.0,21.0,12.0,7.0,2.0,4.0,11.0,0.0,2.0,61.0,343.0,5.62,10.0,220.0,22.0,29.0,7.59,1.0,11.0,123.0,31.0,3.97,3.0,4.0,7.0,62.0,0.0,0.0,0.0,0.0,30.0,14.0,0.5,18.0,9.0,8.0,1.0,5.0,14.0,1.0,2.0,66.0,309.0,4.68,11.0,176.0,20.0,32.0,5.5,4.0,21.0,133.0,30.0,4.43,1.0,1.0,8.0,59.0,1.0,1.0,0.0,0.0,29.0,46.0,0.5,0.0,Lucas Oil Stadium,Indianapolis,IN,65924,63000,-215.0,-115.0,-4.5,37.0,,,,,,,,803096882.0,1576.0,1560.0,Final
21,CHI,IND,2023-08-19,23:00,UTC,0.0,2023,Pre-Season,,4,,17.0,24.0,0.0,1.0,0.0,18.0,9.0,8.0,1.0,5.0,14.0,1.0,2.0,66.0,309.0,4.68,11.0,176.0,20.0,32.0,5.5,4.0,21.0,133.0,30.0,4.43,1.0,1.0,8.0,59.0,1.0,1.0,0.0,0.0,29.0,46.0,0.5,21.0,12.0,7.0,2.0,4.0,11.0,0.0,2.0,61.0,343.0,5.62,10.0,220.0,22.0,29.0,7.59,1.0,11.0,123.0,31.0,3.97,3.0,4.0,7.0,62.0,0.0,0.0,0.0,0.0,30.0,14.0,0.5,0.0,Lucas Oil Stadium,Indianapolis,IN,65924,63000,178.0,-105.0,4.5,37.0,,,,,,,,803096882.0,1560.0,1576.0,Final
22,HOU,MIA,2023-08-19,20:00,UTC,1.0,2023,Pre-Season,,4,,3.0,28.0,0.0,1.0,0.0,10.0,8.0,1.0,1.0,2.0,12.0,1.0,3.0,48.0,186.0,3.88,10.0,154.0,17.0,34.0,4.53,0.0,0.0,32.0,14.0,2.29,0.0,2.0,7.0,35.0,0.0,0.0,0.0,0.0,21.0,18.0,0.36,23.0,14.0,8.0,1.0,9.0,15.0,2.0,2.0,69.0,398.0,5.77,10.0,193.0,20.0,29.0,6.66,2.0,25.0,205.0,38.0,5.39,4.0,4.0,6.0,34.0,1.0,0.0,1.0,0.0,38.0,42.0,0.64,0.0,NRG Stadium,Houston,TX,69860,71995,-120.0,-110.0,-1.0,39.0,Dale Keller,Jimmy Russell,Mark Perlman,Alex Moore,Bill Vinovich,Joe Blubaugh,Jimmy Buchanan,803096884.0,1622.0,1584.0,Final
23,MIA,HOU,2023-08-19,20:00,UTC,0.0,2023,Pre-Season,,4,,28.0,3.0,1.0,0.0,0.0,23.0,14.0,8.0,1.0,9.0,15.0,2.0,2.0,69.0,398.0,5.77,10.0,193.0,20.0,29.0,6.66,2.0,25.0,205.0,38.0,5.39,4.0,4.0,6.0,34.0,1.0,0.0,1.0,0.0,38.0,42.0,0.64,10.0,8.0,1.0,1.0,2.0,12.0,1.0,3.0,48.0,186.0,3.88,10.0,154.0,17.0,34.0,4.53,0.0,0.0,32.0,14.0,2.29,0.0,2.0,7.0,35.0,0.0,0.0,0.0,0.0,21.0,18.0,0.36,0.0,NRG Stadium,Houston,TX,69860,71995,100.0,-110.0,1.0,39.0,Dale Keller,Jimmy Russell,Mark Perlman,Alex Moore,Bill Vinovich,Joe Blubaugh,Jimmy Buchanan,803096884.0,1584.0,1622.0,Final
24,LAR,LAC,2023-08-13,01:00,UTC,1.0,2023,Pre-Season,,4,,17.0,34.0,0.0,1.0,0.0,21.0,11.0,5.0,5.0,4.0,13.0,0.0,0.0,63.0,263.0,4.17,11.0,164.0,20.0,35.0,4.69,4.0,38.0,99.0,24.0,4.12,2.0,3.0,9.0,111.0,0.0,0.0,0.0,0.0,31.0,42.0,0.53,20.0,7.0,9.0,4.0,4.0,10.0,0.0,0.0,58.0,319.0,5.5,10.0,105.0,16.0,24.0,4.38,3.0,23.0,214.0,31.0,6.9,1.0,2.0,11.0,106.0,0.0,0.0,0.0,1.0,28.0,18.0,0.47,0.0,SoFi Stadium,Inglewood,CA,70328,71500,-140.0,-110.0,-2.5,34.0,,Terrence Miles,Mark Stewart,Mark Pellis,Scott Novak,Trawick Boger,,803096886.0,1582.0,1602.0,Final
25,LAC,LAR,2023-08-13,01:00,UTC,0.0,2023,Pre-Season,,4,,34.0,17.0,1.0,0.0,0.0,20.0,7.0,9.0,4.0,4.0,10.0,0.0,0.0,58.0,319.0,5.5,10.0,105.0,16.0,24.0,4.38,3.0,23.0,214.0,31.0,6.9,1.0,2.0,11.0,106.0,0.0,0.0,0.0,1.0,28.0,18.0,0.47,21.0,11.0,5.0,5.0,4.0,13.0,0.0,0.0,63.0,263.0,4.17,11.0,164.0,20.0,35.0,4.69,4.0,38.0,99.0,24.0,4.12,2.0,3.0,9.0,111.0,0.0,0.0,0.0,0.0,31.0,42.0,0.53,0.0,SoFi Stadium,Inglewood,CA,70328,71500,118.0,-110.0,2.5,34.0,,Terrence Miles,Mark Stewart,Mark Pellis,Scott Novak,Trawick Boger,,803096886.0,1602.0,1582.0,Final
26,LAC,NO,2023-08-20,23:05,UTC,1.0,2023,Pre-Season,,4,,17.0,22.0,0.0,1.0,0.0,19.0,10.0,6.0,3.0,3.0,15.0,2.0,5.0,68.0,309.0,4.54,13.0,189.0,21.0,41.0,4.61,5.0,44.0,120.0,22.0,5.45,2.0,3.0,5.0,26.0,3.0,1.0,2.0,0.0,25.0,46.0,0.43,13.0,8.0,4.0,1.0,5.0,17.0,1.0,1.0,66.0,339.0,5.14,14.0,278.0,24.0,38.0,7.32,2.0,9.0,61.0,26.0,2.35,1.0,5.0,14.0,141.0,0.0,0.0,0.0,0.0,34.0,14.0,0.57,0.0,SoFi Stadium,Inglewood,CA,64455,71500,140.0,-110.0,3.0,36.0,Patrick Holt,Rich Martinez,Tim Podraza,Terry Killens Jr.,Shawn Hochuli,Jason Ledet,Chad Hill,803096888.0,1602.0,1590.0,Final
27,NO,LAC,2023-08-20,23:05,UTC,0.0,2023,Pre-Season,,4,,22.0,17.0,1.0,0.0,0.0,13.0,8.0,4.0,1.0,5.0,17.0,1.0,1.0,66.0,339.0,5.14,14.0,278.0,24.0,38.0,7.32,2.0,9.0,61.0,26.0,2.35,1.0,5.0,14.0,141.0,0.0,0.0,0.0,0.0,34.0,14.0,0.57,19.0,10.0,6.0,3.0,3.0,15.0,2.0,5.0,68.0,309.0,4.54,13.0,189.0,21.0,41.0,4.61,5.0,44.0,120.0,22.0,5.45,2.0,3.0,5.0,26.0,3.0,1.0,2.0,0.0,25.0,46.0,0.43,0.0,SoFi Stadium,Inglewood,CA,64455,71500,-165.0,-110.0,-3.0,36.0,Patrick Holt,Rich Martinez,Tim Podraza,Terry Killens Jr.,Shawn Hochuli,Jason Ledet,Chad Hill,803096888.0,1590.0,1602.0,Final
28,LAR,LV,2023-08-20,01:00,UTC,1.0,2023,Pre-Season,,4,,17.0,34.0,0.0,1.0,0.0,13.0,5.0,6.0,2.0,3.0,11.0,0.0,0.0,50.0,224.0,4.48,10.0,148.0,19.0,28.0,5.29,1.0,8.0,76.0,21.0,3.62,1.0,2.0,6.0,61.0,1.0,0.0,1.0,1.0,28.0,21.0,0.47,25.0,16.0,7.0,2.0,7.0,13.0,0.0,1.0,70.0,440.0,6.29,11.0,342.0,27.0,44.0,7.77,1.0,4.0,98.0,25.0,3.92,3.0,4.0,7.0,50.0,1.0,0.0,1.0,1.0,31.0,39.0,0.53,0.0,SoFi Stadium,Inglewood,CA,70362,71500,178.0,-110.0,4.5,39.5,Mike Carr,Martin Hankins,Thomas Eaton,Scott Campbell,Brandon Cruse,Nathan Jones,Eugene Hall,803096890.0,1582.0,1580.0,Final
29,LV,LAR,2023-08-20,01:00,UTC,0.0,2023,Pre-Season,,4,,34.0,17.0,1.0,0.0,0.0,25.0,16.0,7.0,2.0,7.0,13.0,0.0,1.0,70.0,440.0,6.29,11.0,342.0,27.0,44.0,7.77,1.0,4.0,98.0,25.0,3.92,3.0,4.0,7.0,50.0,1.0,0.0,1.0,1.0,31.0,39.0,0.53,13.0,5.0,6.0,2.0,3.0,11.0,0.0,0.0,50.0,224.0,4.48,10.0,148.0,19.0,28.0,5.29,1.0,8.0,76.0,21.0,3.62,1.0,2.0,6.0,61.0,1.0,0.0,1.0,1.0,28.0,21.0,0.47,0.0,SoFi Stadium,Inglewood,CA,70362,71500,-215.0,-110.0,-4.5,39.5,Mike Carr,Martin Hankins,Thomas Eaton,Scott Campbell,Brandon Cruse,Nathan Jones,Eugene Hall,803096890.0,1580.0,1582.0,Final
