,Team,Opp,Game_Date,Game_Time,Timezone,isHome,Season,Season_Type,Playoff_Round,Quarters,Game_Clock,Score,Score_Opp,Win,Loss,Draw,First_Downs,First_Downs_Passing,First_Downs_Rushing,First_Downs_Penalty,Third_Down_Conversions,Third_Down_Attempts,Fourth_Down_Conversions,Fourth_Down_Attempts,Total_Offensive_Plays,Total_Yards,Yards_Per_Play,Total_Drives,Net_Passing_Yards,Pass_Completions,Pass_Attempts,Yards_Per_Pass,Sacks_Against,Sack_Yards_Lost,Rushing_Yards,Rushing_Attempts,Yards_Per_Rush,Red_Zone_Conversions,Red_Zone_Attempts,Total_Penalties,Total_Penalty_Yards,Turnovers,Fumbles_Lost,Interceptions_Thrown,Defensive_Touchdowns,Possession_Minutes,Possession_Seconds,Possession_Percent,First_Downs_Opp,First_Downs_Passing_Opp,First_Downs_Rushing_Opp,First_Downs_Penalty_Opp,Third_Down_Conversions_Opp,Third_Down_Attempts_Opp,Fourth_Down_Conversions_Opp,Fourth_Down_Attempts_Opp,Total_Offensive_Plays_Opp,Total_Yards_Opp,Yards_Per_Play_Opp,Total_Drives_Opp,Net_Passing_Yards_Opp,Pass_Completions_Opp,Pass_Attempts_Opp,Yards_Per_Pass_Opp,Sacks_Against_Opp,Sack_Yards_Lost_Opp,Rushing_Yards_Opp,Rushing_Attempts_Opp,Yards_Per_Rush_Opp,Red_Zone_Conversions_Opp,Red_Zone_Attempts_Opp,Total_Penalties_Opp,Total_Penalty_Yards_Opp,Turnovers_Opp,Fumbles_Lost_Opp,Interceptions_Thrown_Opp,Defensive_Touchdowns_Opp,Possession_Minutes_Opp,Possession_Seconds_Opp,Possession_Percent_Opp,Neutral_Site,Venue,Venue_City,Venue_State,Attendance,Venue_Capacity,Moneyline,Odds,Spread,Over_Under,Head_Linesman,Back_Judge,Line_Judge,Umpire,Referee,Field_Judge,Side_Judge,Game_Id,Team_Id,Opp_Id,Game_Status
154,PHI,MIN,2023-09-15,00:15,UTC,1.0,2023,Regular-Season,,4,,34.0,28.0,1.0,0.0,0.0,24.0,4.0,19.0,1.0,6.0,14.0,1.0,1.0,75.0,430.0,5.73,12.0,171.0,18.0,23.0,7.43,4.0,22.0,259.0,48.0,5.4,3.0,4.0,7.0,45.0,1.0,0.0,1.0,0.0,39.0,28.0,0.66,19.0,19.0,0.0,0.0,6.0,10.0,1.0,1.0,55.0,374.0,6.8,11.0,346.0,31.0,44.0,7.86,2.0,18.0,28.0,9.0,3.11,3.0,3.0,2.0,15.0,4.0,4.0,0.0,0.0,20.0,32.0,0.34,0.0,Lincoln Financial Field,Philadelphia,PA,69879,69879,-260.0,-110.0,-6.0,49.5,Jerod Phillips,Greg Wilson,Greg Bradley,James Carter II,Clay Martin,Alonzo Ramsey III,Dave Hawkshaw,803096374.0,1596.0,1586.0,Final
155,MIN,PHI,2023-09-15,00:15,UTC,0.0,2023,Regular-Season,,4,,28.0,34.0,0.0,1.0,0.0,19.0,19.0,0.0,0.0,6.0,10.0,1.0,1.0,55.0,374.0,6.8,11.0,346.0,31.0,44.0,7.86,2.0,18.0,28.0,9.0,3.11,3.0,3.0,2.0,15.0,4.0,4.0,0.0,0.0,20.0,32.0,0.34,24.0,4.0,19.0,1.0,6.0,14.0,1.0,1.0,75.0,430.0,5.73,12.0,171.0,18.0,23.0,7.43,4.0,22.0,259.0,48.0,5.4,3.0,4.0,7.0,45.0,1.0,0.0,1.0,0.0,39.0,28.0,0.66,0.0,Lincoln Financial Field,Philadelphia,PA,69879,69879,210.0,-110.0,6.0,49.5,Jerod Phillips,Greg Wilson,Greg Bradley,James Carter II,Clay Martin,Alonzo Ramsey III,Dave Hawkshaw,803096374.0,1586.0,1596.0,Final
156,BUF,LV,2023-09-17,17:00,UTC,1.0,2023,Regular-Season,,4,,38.0,10.0,1.0,0.0,0.0,29.0,17.0,10.0,2.0,7.0,13.0,3.0,4.0,74.0,450.0,6.08,9.0,267.0,31.0,37.0,7.22,2.0,7.0,183.0,35.0,5.23,5.0,7.0,4.0,30.0,0.0,0.0,0.0,0.0,40.0,4.0,0.67,13.0,10.0,2.0,1.0,3.0,7.0,0.0,0.0,39.0,240.0,6.15,9.0,185.0,16.0,24.0,7.71,0.0,0.0,55.0,15.0,3.67,1.0,2.0,2.0,30.0,3.0,1.0,2.0,0.0,19.0,56.0,0.33,0.0,Highmark Stadium,Orchard Park,NY,70772,71621,-365.0,-110.0,-7.5,47.0,Jim Mello,Grantis Bell,Tripp Sutter,Steve Woods,Craig Wrolstad,Jeff Shears,Frank Steratore,803096376.0,1558.0,1580.0,Final
157,LV,BUF,2023-09-17,17:00,UTC,0.0,2023,Regular-Season,,4,,10.0,38.0,0.0,1.0,0.0,13.0,10.0,2.0,1.0,3.0,7.0,0.0,0.0,39.0,240.0,6.15,9.0,185.0,16.0,24.0,7.71,0.0,0.0,55.0,15.0,3.67,1.0,2.0,2.0,30.0,3.0,1.0,2.0,0.0,19.0,56.0,0.33,29.0,17.0,10.0,2.0,7.0,13.0,3.0,4.0,74.0,450.0,6.08,9.0,267.0,31.0,37.0,7.22,2.0,7.0,183.0,35.0,5.23,5.0,7.0,4.0,30.0,0.0,0.0,0.0,0.0,40.0,4.0,0.67,0.0,Highmark Stadium,Orchard Park,NY,70772,71621,285.0,-110.0,7.5,47.0,Jim Mello,Grantis Bell,Tripp Sutter,Steve Woods,Craig Wrolstad,Jeff Shears,Frank Steratore,803096376.0,1580.0,1558.0,Final
158,CIN,BAL,2023-09-17,17:00,UTC,1.0,2023,Regular-Season,,4,,24.0,27.0,0.0,1.0,0.0,19.0,13.0,4.0,2.0,10.0,15.0,1.0,1.0,57.0,282.0,4.95,7.0,216.0,27.0,41.0,5.27,1.0,6.0,66.0,15.0,4.4,2.0,4.0,5.0,30.0,1.0,0.0,1.0,1.0,26.0,56.0,0.45,26.0,12.0,11.0,3.0,9.0,14.0,0.0,0.0,70.0,415.0,5.93,9.0,237.0,24.0,33.0,7.18,0.0,0.0,178.0,37.0,4.81,3.0,4.0,6.0,56.0,0.0,0.0,0.0,0.0,33.0,4.0,0.55,0.0,Paycor Stadium,Cincinnati,OH,66015,65515,-180.0,100.0,-3.5,45.0,Patrick Holt,Rich Martinez,Tim Podraza,Terry Killens Jr.,Shawn Hochuli,Jason Ledet,Tom Hill,803096378.0,1562.0,1620.0,Final
159,BAL,CIN,2023-09-17,17:00,UTC,0.0,2023,Regular-Season,,4,,27.0,24.0,1.0,0.0,0.0,26.0,12.0,11.0,3.0,9.0,14.0,0.0,0.0,70.0,415.0,5.93,9.0,237.0,24.0,33.0,7.18,0.0,0.0,178.0,37.0,4.81,3.0,4.0,6.0,56.0,0.0,0.0,0.0,0.0,33.0,4.0,0.55,19.0,13.0,4.0,2.0,10.0,15.0,1.0,1.0,57.0,282.0,4.95,7.0,216.0,27.0,41.0,5.27,1.0,6.0,66.0,15.0,4.4,2.0,4.0,5.0,30.0,1.0,0.0,1.0,1.0,26.0,56.0,0.45,0.0,Paycor Stadium,Cincinnati,OH,66015,65515,152.0,-120.0,3.5,45.0,Patrick Holt,Rich Martinez,Tim Podraza,Terry Killens Jr.,Shawn Hochuli,Jason Ledet,Tom Hill,803096378.0,1620.0,1562.0,Final
160,JAX,KC,2023-09-17,17:00,UTC,1.0,2023,Regular-Season,,4,,9.0,17.0,0.0,1.0,0.0,18.0,14.0,1.0,3.0,3.0,12.0,0.0,2.0,64.0,271.0,4.23,11.0,197.0,23.0,42.0,4.69,4.0,18.0,74.0,18.0,4.11,0.0,3.0,2.0,10.0,1.0,1.0,0.0,0.0,28.0,11.0,0.47,19.0,12.0,7.0,0.0,4.0,13.0,2.0,2.0,64.0,399.0,6.23,10.0,298.0,29.0,41.0,7.27,1.0,7.0,101.0,22.0,4.59,2.0,4.0,12.0,94.0,3.0,2.0,1.0,0.0,31.0,49.0,0.53,0.0,EverBank Stadium,Jacksonville,FL,69615,67858,152.0,-120.0,3.5,50.0,,,,,,,,803096380.0,1614.0,1578.0,Final
161,KC,JAX,2023-09-17,17:00,UTC,0.0,2023,Regular-Season,,4,,17.0,9.0,1.0,0.0,0.0,19.0,12.0,7.0,0.0,4.0,13.0,2.0,2.0,64.0,399.0,6.23,10.0,298.0,29.0,41.0,7.27,1.0,7.0,101.0,22.0,4.59,2.0,4.0,12.0,94.0,3.0,2.0,1.0,0.0,31.0,49.0,0.53,18.0,14.0,1.0,3.0,3.0,12.0,0.0,2.0,64.0,271.0,4.23,11.0,197.0,23.0,42.0,4.69,4.0,18.0,74.0,18.0,4.11,0.0,3.0,2.0,10.0,1.0,1.0,0.0,0.0,28.0,11.0,0.47,0.0,EverBank Stadium,Jacksonville,FL,69615,67858,-180.0,100.0,-3.5,50.0,,,,,,,,803096380.0,1578.0,1614.0,Final
162,TEN,LAC,2023-09-17,17:00,UTC,1.0,2023,Regular-Season,,5,,27.0,24.0,1.0,0.0,0.0,22.0,9.0,10.0,3.0,6.0,13.0,0.0,1.0,63.0,341.0,5.41,11.0,200.0,20.0,24.0,8.33,5.0,46.0,141.0,34.0,4.15,3.0,4.0,7.0,45.0,0.0,0.0,0.0,0.0,36.0,49.0,0.57,19.0,14.0,4.0,1.0,2.0,14.0,3.0,3.0,65.0,342.0,5.26,11.0,281.0,27.0,41.0,6.85,3.0,24.0,61.0,21.0,2.9,2.0,5.0,4.0,43.0,0.0,0.0,0.0,0.0,28.0,9.0,0.43,0.0,Nissan Stadium,Nashville,TN,67438,69143,122.0,100.0,2.5,45.5,,,,,,,,803096382.0,1574.0,1602.0,Final
163,LAC,TEN,2023-09-17,17:00,UTC,0.0,2023,Regular-Season,,5,,24.0,27.0,0.0,1.0,0.0,19.0,14.0,4.0,1.0,2.0,14.0,3.0,3.0,65.0,342.0,5.26,11.0,281.0,27.0,41.0,6.85,3.0,24.0,61.0,21.0,2.9,2.0,5.0,4.0,43.0,0.0,0.0,0.0,0.0,28.0,9.0,0.43,22.0,9.0,10.0,3.0,6.0,13.0,0.0,1.0,63.0,341.0,5.41,11.0,200.0,20.0,24.0,8.33,5.0,46.0,141.0,34.0,4.15,3.0,4.0,7.0,45.0,0.0,0.0,0.0,0.0,36.0,49.0,0.57,0.0,Nissan Stadium,Nashville,TN,67438,69143,-145.0,-120.0,-2.5,45.5,,,,,,,,803096382.0,1602.0,1574.0,Final
